yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1982,-1,0,5,0,0,1,0,30,101,0,40,National,877,147,588,1167
1982,-1,0,6,0,0,1,0,3,61,0,3,National,5.8,0.5,4.9,6.8
1982,-1,0,6,0,0,1,0,3,101,0,3,National,2543,213,2123,2963
1982,-1,0,6,0,0,1,0,30,61,0,40,National,5.8,0.5,4.9,6.8
1982,-1,0,6,0,0,1,0,30,101,0,40,National,2543,213,2123,2963
1982,-1,0,7,0,0,1,0,3,61,0,3,National,9.4,0.9,7.8,11.3
1982,-1,0,7,0,0,1,0,3,101,0,3,National,1491,145,1204,1778
1982,-1,0,7,0,0,1,0,30,61,0,40,National,9.4,0.9,7.8,11.3
1982,-1,0,7,0,0,1,0,30,101,0,40,National,1491,145,1204,1778
1982,-1,0,8,0,0,1,0,3,61,0,3,National,7.6,0.9,6.1,9.5
1982,-1,0,8,0,0,1,0,3,101,0,3,National,729,90,552,906
1982,-1,0,8,0,0,1,0,30,61,0,40,National,7.6,0.9,6.1,9.5
1982,-1,0,8,0,0,1,0,30,101,0,40,National,729,90,552,906
1982,-1,0,9,0,0,1,0,3,61,0,3,National,0.6,0.1,0.4,0.8
1982,-1,0,9,0,0,1,0,3,101,0,3,National,965,162,644,1286
1982,-1,0,99,0,0,1,0,3,61,0,3,National,2.5,0.1,2.3,2.8
1982,-1,0,99,0,0,1,0,3,101,0,3,National,5729,330,5076,6381
1982,-1,0,99,0,0,1,0,30,61,0,40,National,3.4,0.2,3.1,3.8
1982,-1,0,99,0,0,1,0,30,101,0,40,National,5641,320,5008,6274
1982,-1,0,99,0,1,1,0,30,61,0,40,National,6.7,0.5,5.8,7.7
1982,-1,0,99,0,1,1,0,30,101,0,40,National,2954,218,2522,3385
1982,-1,0,99,0,2,1,0,30,61,0,40,National,2.4,0.3,2,3
